"id","authorName", "title", "startDate", "endDate"
"DmxAZ4EBCO-h5TLifn_y","Dumargne, Anne-Clotilde","Le Luminaire mobile en métal en Occident (XIIIe-XVIIe siècles). Production, évolution, typologie et usages","2014","2016"
"mCBCZ4EBE5FSCrqEVdHp","BRIMO, René","L'Évolution du goût aux États-Unis, d'après l'histoire des collections. Thèse pour le doctorat d'Université présentée à la Faculté des lettres de l'Université de Paris","1938","1938"
"3IQJCn0B8c2OMgbk1U8_","Pauwels, Yves","Théorie et pratique des ordres au milieu du XVIe siècle : De l'Orme, Goujon, Lescot, Bullant","1991",
"MP1zdHwBb--xViCl-wdT","Agathe Normand","Daniel Duclaux (1910-1999), collectionneur d'art du Moyen Âge & Corpus des ivoires et émaux médiévaux de sa collection. Annexes","2017","2017"
"JPTnanwBb--xViCl4C4d","Montgolfier, Flavie de","L'Architecture des églises de la Sainte-Trinité et de Saint-Amboise, par Théodore Ballu","2002","2002"
"a_eWbnwBb--xViCls47_","Christine Benoist","Recherches sur les sculpteurs Michel Bourdin, père et fils","1987","1987"
"aPS5a3wBb--xViClUvZ5","Patin, Roland","Souvigny et les églises bourbonnaises du milieu et de la seconde moitié du XIIe siècle","1983","1983"
"iPlPcHwBb--xViCl4DWm","Tixier, Frédéric","La monstrance eucharistique du milieu du XIIIe siècle aux environs de 1600 : Genèse, évolution typologique, fonctionnalités et impacts mentaux d'un élément majeur du mobilier liturgique","2010","2010"
"G2Kmr34BECgfc5yWW5P0","Jacquier, Caroline","La représentation des jeux dans l'enluminure gothique",,
"6yjGfnwBOOvTw-_WsO1Z","Gilbert-Levrier, Eva","Un artisan du renouveau de la gravure sur bois à la fin du XIXe siècle : le graveur lorrain Paul-Emile Colin.",,
"wAJrenwBb--xViClA1SE","Bousquet Gyatso, Nathalie","Entre devoir de préservation et désir d’innovation, la peinture tibétaine en quête de sa propre modernité (fin années 1980 jusqu’à 2005)",,
"zCjafnwBOOvTw-_Wt-4m","Hendler, Joseph-Séfy","Le Paragone, sa pratique, son déclin : la comparaison compétitive peinture-sculpture en Italie de la fin du XVe siècle au début du XVIIe siècle",,
"SEqBkH4BbtDbtMot7k8c","Espin, Elsa","Les peintres français, néerlandais et allemands dans la couronne d'Aragon - Aragon, Catalogne, Valence et Majorque - du règne de Jean Ier à celui de Ferdinand le Catholique (1387-1516)","2022",
"EvndcHwBb--xViClkb2y","Zito, Mickaël","Les Marca (fin XVIIe-début XIXe siècles). Itinéraires et activités d'une dynastie de stucateurs piémontais en Franche-Comté et en Bourgogne",,
"bwDceHwBb--xViClOfB_","al-Suhaibani, Abdulrahman","L'architecture à Dedan (Khuraybat : al-‘Ula), Arabie du Nord-Ouest, au Ier millénaire av. J.-C.",,
"mfl7cHwBb--xViCl-l_U","Mathot, Hubert","Poterie et spécialisation artisanale en Mésopotamie (fin Vème millénaire- fin IIIème millénaire).",,
"8576fnwBkdN8tUGIos59","Lagarce, Bérénice","La divinité au Proche-Orient et en Égypte aux IIIe et IIe millénaires avant J.-C. Étude comparative",,
"32jezIABCO-h5TLibX0g","Legé, Alice Silvia","Les Cahen d’Anvers en France et en Italie : Demeures et choix culturels d'une lignée d'entrepreneurs",,
"MYOTCX0B8c2OMgbk6-wy","Maral, Alexandre","La chapelle royale de Versailles. Architecture, décor et mobilier.",,
"ZQItenwBb--xViClNR-g","Bargues, Cécile","Dada après Dada (années 1930-1940)",,
"9_mccHwBb--xViCltn6K","Spiesse, Emmanuelle","Devenir artiste au Nigeria : du début du XXème siècle au début du XXIème siècle.",,
"NALAenwBb--xViClKp5Z","Feyeux, Anaïs","Photographier l'après-guerre. La reconstruction du champ photographique en Allemagne de l'Ouest entre 1945 et le début des années soixante.",,
"_AbzfnwBb--xViCloDpv","Jeudy, Fabienne","L'architecture religieuse en Haute-Saône à l'époque gothique : (de la fin du XIIe siècle au début du XIVe siècle).",,
"wZ72fnwBkdN8tUGIQ85X","Kaurin, Jenny","Recherches autour du métal : les assemblages funéraires trévires : fin du IIIe s. av. J.-C. - troisième quart du Ier s. ap. J.-C.",,
"0_0adXwBb--xViClZaYV","Vrand, Caroline","Un mécénat au féminin à l'aube de la Renaissance : les collections d'objets d'art d'Anne de Bretagne",,
"yZ5ienwBkdN8tUGIrqEV","Borvon, Aurélia","Acquisition des ressources animales, alimentation carnée et distinction sociale en Anjou de la fin du Xe siècle au début du XIIe siècle : étude archéozoologique du site de Montsoreau (Maine-et-Loire).",,
"Mp6wenwBkdN8tUGICqV9","Dessene, Frédéric","L' Anatolie Orientale et la culture d'Uruk. . . : perspectives interculturelles de l'artisanat céramique pendant la transition 4è - 3è millénaire av. J.-C. : à propos de la céramique à engobe réservé.",,
"qJ7cfnwBkdN8tUGIRM1Y","Hristova, Valentina","Dépositions, Lamentations et Mises au tombeau dans la peinture renaissante en Italie centrale",,
"u_mwcHwBb--xViClP5EG","Verardi, Virginia","L'Introduction et la diffusion de la technologie du bronze en Syrie-Mésopotamie : IVe-Ier millénaires : genèse d'un artisanat.",,
"aSgdf3wBOOvTw-_WGvFp","Malignas, Adrien","Les céramiques culinaires et l'évolution de la cuisine en Gaule méridionale à l'époque romaine : l'exemple du Languedoc de la fin du IIe s. av. au IIe s. ap. J.-C.",,
"SfV8bHwBb--xViClzrFP","Monchamp, Julie","Contribution à l'étude de la céramique médiévale égyptienne. Chrono-typologie des céramiques issues des fouilles de la muraille ayyoubide du Caire (fin Xe – début XVIe siècles).",,
"dyhTenwBOOvTw-_WBcKJ","Beaulieu Orna, Marie-Claude","Les Paysagistes britanniques du Grand Tour dans le dernier tiers du XVIIIe siècle: vecteurs d'innovation",,
"byXA1pEB9wRwsN04zNMn","Toti, Alice","Le(s) Dante(s) d’Alberto Martini : illustration, commentaire et interprétation de la Divine Comédie au cours de la première moitié du XXe siècle",,
"M3CMkpAB92aMUJ1uHi93","Robert, Camille","Les oiseaux dans les jardins anglais au XIXe siècle",,
"rka6oZAB_uRIhURzYt8E","Jo, Hyejun","L'Association d'Avant-Garde Coréenne sur la scène artistique coréenne et internationale",,
"JvU2oZABtV9ESjHgVR7o","Diab, Elissar","Fouad Elkoury, artiste photographe : la photographie sous un autre angle",,
"YEZ1kpAB_uRIhURz-xdM","Lagarde, Elisabeth","Le patriotisme dans la production joaillière et bijouterie française durant la Seconde Guerre mondiale (1939-1945)",,
"X3BFkpAB92aMUJ1umi0y","Fondanèche, Mathilde","La pérennité des oeuvres d'art en Provence au XVe siècle à travers les contrats de commande",,
"KUY3kpAB_uRIhURzaBQF","Favre, Quentin","L'architecture de l'abbatiale Saint-Père de Chartres : de l'église carolingienne au chevet rayonnant",,
"QUYqoZAB_uRIhURzm9gJ","Deylik, Sergeï","La représentation de Cérès et son culte dans le monnayage romain à la fin de la République et au début de l'Empire",,
"E-rzlpABtV9ESjHgI5cQ","Billaudel, Hortense","Jean-Baptiste Pierre Lebrun, maître d'art de la seconde moitié du XVIIIe siècle",,
"4nDDlpAB92aMUJ1us0rb","Armand, Richard","Les cadres des notables toscans de 1400 à 1520",,
"wHAKp5AB92aMUJ1ufLW9","Ivo, Leonardo","Le mécénat artistique d'Urbain VIII : une étude iconographique des allégories barbesiniènnes",,
"8fstp5ABtV9ESjHgBjsS","Plainemaison, Laure","Portrait peint et politique pendant la Révolution française",,
"8vv5ppABtV9ESjHgNQan","Giloux, Félix","Hallucinations du corps schizomorphe dans l'œuvre de Paul Mc Carthy. Lecture psychopathologique du travail de l'artiste",,
"uHDippAB92aMUJ1uzbQk","Chatiron, Nolwen","La représentation des paysages chez les bas-reliefs assyriens",,
"0HDmppAB92aMUJ1uUrQM","Conte, Mélanie","Identification des artistes en marge du mouvement de l'art corporel : Pierre Molinier et Henri Maccheroni",,
"OHDQlpAB92aMUJ1ui0u7","Bazin, Armand","Le marché de la statuaire en terre cuite (1730-1775)",,
"NkIFgX0B4brDyrEc0L6p","Laurent-Gravier, Anne-Marie","Le Tunnel des milles signes par Frédéric Clavère pour Marseille-Provence capitale européenne de la culture 2013 : un projet culturel de territoire, entre art public et art urbain",,
"q13_gH0BXq6R_3T_Hbov","Scarpa-Forthoffer, Caroline","La Fortune du motif du paon dans la bijouterie Art Nouveau 1897-1907",,
"5nD5oJAB92aMUJ1u0Y2a","Collet, Lou","Caricatures du salon de 1857",,
"wbb5XH0BXUHeloXaX3_c","Pariot, Amélie","La remédiation de l’image dans le Street art",,
"_-rIlpABtV9ESjHgLGp3","Azaz, Yanis","André Valensi et le groupe Supports/Surfaces",,
"KA4gEIwB7TrEy_smt9wQ","Danishjou, Rameen","Le mausolée de Abdallâh h. Maâwiah à Hérat : architecture et décor à l'époque des Timourides",,
"unDtkpAB92aMUJ1uqzGD","Daguer Tassema, Judith","Manuel Orazi (1860-1934), entre érotisme et religion",,
"aJPt9H8BjJhH4D4JFnIM","Guelmami, Abir","La réception de l’architecture japonaise et des architectes japonais dans les revues d’architecture françaises (1950-2000)",,
"b2U6RoABCO-h5TLiygjx","Girard, Mathilde","Le Centre régional de l’Exposition universelle de 1937. Une affirmation architecturale et culturelle des régions françaises",,
"_AquvH8BE5FSCrqEA-el","Ibarroule, Anne-Laure","SUDAC. D’une usine d’air comprimé à une école d’architecture : reconversion quai Panhard Levassor",,
"z331o30BXq6R_3T_TSFT","Laurent-Gravier, Anne-Marie","Frantisek Kupka illustrateur d’Elisée Reclus pour L’homme et la terre",,
"xPYzopABtV9ESjHg3yE2","Pourciel, Mélanie","Les débuts de la peinture moderne au Congo et sa réception en Belgique au XXe siècle : le cas d'Albert et Antoinette Lubaki",,
"z0SopH0B4brDyrEcr5Hp","Bralet, Isabelle","La Res rustica dans l’art contemporain après la crise de la vache folle",,
"m7jYpH0BXUHeloXaMVfA","Guo, Peiyan","Approche de l’art des nouveaux médias en Chine dans la perspective de la thématique du corps et de l’espace",,
"nfXxoZABtV9ESjHgUt04","Liautard, Pierre","Guerres et modes, de la parade au fonctionnel (1900-1954)",,
"pUf8w30BBTW_-BVBWULC","Chauvin, Charlotte","Les théories féministes et queer comme stratégies d’exposition",,
"gUYEopAB_uRIhURzVOMa","Monnatte, Chloé","L'art rupestre dans Cahiers d'Art et sa réception dans l'art contemporain",,
"JbmQ3H0BajtxGK8qFYdL","Dos Santos, Maicon","Etude sur la broderie historiée à la Renaissance française d'après les médaillons brodés de Diane de Poitiers au Musée des Tissus de Lyon",,
"wTo9YYABjJhH4D4Jjwq7","Lewandowski, Hélène","Le Palais du Quai d’Orsay : du ministère des Relations extérieures à la gare (1808-1898), une histoire de l’architecture du XIXe siècle ?",,
"Kk4f2n4BbtDbtMotBBVm","Ellison, Dominic","L’image populaire de Méphistophélès et du Diable. Approche iconographique d’un phénomène culturel 1870-1914",,
"RDksYYABjJhH4D4JSPBN","Francois, Bruno","Publier l’Italie médiévale au XIXe siècle : de la théorie à l’histoire de l’architecture. Les modèles italiens dans les livres d’architecture français et allemands (1810-1899)",,
"NhPHYIABE5FSCrqEHFFh","Masviel, Frédéric","De l'Hôtel David au Palais Mimard (1892-1905). Léon Lamaizière (1855-1941) et Marcel Lamaizière (1879-1923). Une vie d'architectes à Saint-Étienne",,
"K2UCYYABCO-h5TLinriD","Wallig, Saskia","L’architecte-artiste (1780-1800) : vingt années de révolution",,
"EGWKYIABCO-h5TLiM7UY","Trusca-Chansel, Maria-Mgdalena","L’architecte face à ses critiques : Qui êtes-vous",,
"KnAXkpAB92aMUJ1ubixi","Champettier, Constance","Les Madones de jeunesse de Léonard de Vinci (des années 1470 aux années 1480) : sources, échos et fortune chez les Leonardeschi",,
"oHCOkZAB92aMUJ1uXCif","Daubisse, Anne-Laure","La XVIIe dynastie : le reconstruction d'un état",,
"z0ZHkZAB_uRIhURzhQdO","Deltenre, Sarah","Les monuments de style classique dans les villes égyptiennes de la hôra",,
"wdRRipIBzxrjIZE5dSZS","Homlund, Sophie","Cover Walls. La peinture murale chez Ellsworth Kelly",,
"Lgk6wo4BtV9ESjHg57Kk","Morel, Mathilde","Photographier le patrimoine islamique syrien",,
"-HBPipIBI6s1cBi4KHnI","Guy, Elise","Les reproductions officielles d'œuvres sur internet",,
"mtU5i5IBzxrjIZE50hTM","Soulet, Jade","Annette Messager. Créer l'espace. Actions plastiques / de l'espace de l'atelier à l'espace d'exposition",,
"V6Whi5IB7khBo_KLYMlo","Dauvillier, Aline","La polychromie architecturale dans la Grèce antique",,
"edVqi5IBzxrjIZE5fEa0","Weber, Laura","Photographie et peinture dans l'œuvre de Marta Hoepffner (1934-1979)",,
"3u7YUIYBjykc3cC4HZGK","Bourguelat, Carlotta","Le répertoire coloré de l'Opéra national de Paris (1828-1861) : l'usage du folklore italien dans le ballet romantique français",,
"8nKj05IBI6s1cBi4WFp_","Akian, Myriam","L'habitat groupé au Japon à la période Kofun (IIIe-VIIe siècles) : le cas des sites de Makimuku et de Nangö et leur interprétation",,
"OKns05IB7khBo_KLgH0u","Henderson, Karen","Les militaires nubiens : auxiliaires et adversaires de l'armée égyptiennes, du début de l'Ancien Empire à la fin du Moyen Empire",,
"Ian-05IB7khBo_KLIH5m","Motagne-Perruchon, Blandine","Etude archéozoologique des interactions entre Grecs et Indigènes sur trois sites roumains",,
"OKn_05IB7khBo_KLyH7C","Robert, Thomas","L'armement des populations à la période pré-romaine tardive au Danemark. Le cas du cimetière de Lonhojvej",,
"UHLO15IBI6s1cBi4JHbj","Boivineau, Gaulthier","Patrimoine médiéval et art contemporain : recherches croisées",,
"2Kn405IB7khBo_KLnX3N","Langanay, Antoine","Réjouissances et fêtes urbaines au Nouvel Empire",,
"0HLh15IBI6s1cBi4R3Z6","Chamula, Adèle","Art et pouvoir sous les Pallava. VIIe-VIIIe siècles après J.-C.",,
"OSRU2JIBzxrjIZE5zDIy","Lacerda-Albanez, Graziela","L'émergence de l'art vidéo au Brésil",,
"4NpYkJIBzxrjIZE5tVXM","Yoo, Sun","L'iconographie de la chasse dans la gravure en France au XVIe siècle",,
"dCXe2pEB9wRwsN04d-4z","Grasland, Lou","Agadir près le tremblement de terre de 1960 : laboratoire d’expérience d’un modernisme marocain",,
"_qZTkJIB7khBo_KLeAYs","Vicente, Léa","La protection institutionnelle des antiquités à la fin de l'Empire Ottoman",,
"3xog8YABE5FSCrqEIML7","Challes, Caroline","Les soieries d'ameublement du Garde-meuble de la Couronne sous le Second Empire",,
"thpM9YABE5FSCrqE2_nx","Truc, Alice","Ecrire l'informel de Michel Tapié. Genèse et discours de la réception d'un discours critique des années cinquante au XXème siècle",,
"j28Og5AB92aMUJ1u0smi","Collet, Hortense","La représentation de la danseuse en tête d'affiche de music-halls parisiens entre 1880 et 1914",,
"yEUWg5AB_uRIhURzfk2g","Lasso, Anne-Sophie","André-Edouard Marty (1882-1972). Etude d'une oeuvre complète",,
"YNbhgpABtV9ESjHglwCe","Vitale, Valentina","La maison Pasquin 1891-1956 : l'exposition de la haute couture",,
"lFrzz38BjJhH4D4Jj5Op","Chocteau, Lisa","La brique : pierre angulaire de l'architecture du sud de la Loire-inférieure à partir du XIXe siècle (1796-1915). Etude portant sur la commune de Port-Saint-Père",,
"Ugvo0H8BE5FSCrqEGPHX","Monsenego, Marion","Représenter la construction : regards croisés sur le temple de Diane à Nîmes au XIXe siècle",,
"jmPW2H4BECgfc5yWiqEO","Veillon, Camille","La relation entre l'art et le spectateur dans l'art optique et cinétique en France : théorie et pratique",,
"QBV1ioABE5FSCrqEpXRl","Konieczko, Lola","L’œuvre sculptée de Georgette Agutte, épouse de Marcel Sembat",,
"_5ZkUH8BjJhH4D4JwGAI","Echeikh Ezaoali, Nouha","Les architectures de l'enseignement de Jourda et Perraudin. Expériences pionnières en matière d'architecture écologique (1979-1997)",,
"oRDoIoABE5FSCrqEDSUo","Chauvin, Antoine","Le concours d’idée international pour le Centre Beaubourg. Renouveler ou orienter la création architecturale ?",,
"CmTWIoABCO-h5TLiLSDZ","Carre, Anaïs","Renouveler l’architecture scolaire : l’exemple des lycées construits à Paris entre 1950 et 1983",,
"lRNpYYABE5FSCrqEQ1lt","Ziemann, Mylena","Le néo-colombage au Brésil : l’invention d’une nouvelle architecture à Sao Bento do Sul",,
"JGBoaH4BECgfc5yWK7_j","Dollé, Florentin","Espace pictural et espace filmique dans Perceval le Gallois d'Éric Rohmer. Analyses historique et comparative",,
"L0K0aH4B-ZitX3G5n2Su","Menuge, Enzo","Usages et fonctions du petit format (esquisses et ricordi) en France au tournant de 1700",,
"Ly1_sn8BjJhH4D4J-EZh","Tommasini, Sarah","La réinvention d’un musée de province. Le Palais de Beaux-Arts de Lille (1991-1997, arch. : Jean-Marc Ibos et Myrto Vitart)",,
"4AnnQYABjJhH4D4J39jA","Galloni D’Istria, Mathilde","L’Opéra Bastille, un Opéra à trois temps",,
"WF6nQH8BCO-h5TLi2lG7","Tessier, Fanny","L’expérience pédagogique et esthétique des écoles de danse Duncan (1904-1935) : Transmission et incorporation de l’idéal d’un corps jeune, féminin et en mouvement",,
"bCZZ-5EB9wRwsN04lMNx","Videau, Sybille","Louis-Joseph Mondhare, éditeur de la rue Saint Jacques dans la seconde moitié du XVIIIe siècle",,
"bJsbSpABtV9ESjHg48Ly","Nouhant, Camille","Fede Galizia (1574/78-1630)",,
"Y138IH8BCO-h5TLib4FO","Avril, Alexia","L’image de la Renaissance italienne en France par le prisme des expositions. Etude des supports de communication des expositions sur la Renaissance italienne qui se sont tenues à Paris ces vingt dernières années",,
"2f4DRX8BlUW5nNRXHrvW","Raveneau, Louise","André Kauffer, orfèvre et joailler de l'Ecole de Nancy",,
"bm_3g4ABjJhH4D4JP3Re","Benabdelkader, Fatiha","Catalogue des sculptures de Lille et du Nord de la France",,
"mmpTFIEBCO-h5TLi9F1y","Moreau, Léa","Eclectisme et créations en Terre promise (de la naissance du Sionisme à nos jours)",,
"nAL8iH8BlUW5nNRXODd1","Delaporte, Lucile","Le projet du Jardin Atlantique ou l’achèvement de l’opération d’urbanisme de Maine-Montparnasse",,
"9tmAj5IBzxrjIZE5GHf4","Massé, Marjolaine","L'image du souverain carolingien et ottonien sur les objets d'art",,
"mqWJj5IB7khBo_KLh_ww","Mickus, Franck","De Henry V à Henry V. La figure du roi",,
"2HARkJIBI6s1cBi4WJ9b","Pochon, Anaïs","Les Natchez",,
"dh_y05IBzxrjIZE5urKJ","Jeannès, Adonis","Les établissements ruraux laténiens dans le nord de l'Ile-de-France : évolution et statut avant et après la Conquête (IIIe siècle av. J.-C. - Ier siècle ap. J.-C.)",,
"h6VHipIB7khBo_KLLLcI","Garrigues, Alice","Objets, accessoires, attributs : l'environnement sculpté de la ronde-bosse en Italie entre 1450 et 1650",,
"TqaAkJIB7khBo_KLVgnJ","Le Febvre de Saint Germain, Quitterie","L'église Saint-Pierre de Jumièges : les enduits peints",,
"CXEExpAB92aMUJ1uiYEZ","Louys, Mélie","La mort violente dans les sources du Nouvel Empire",,
"sXClkJIBI6s1cBi4pqMB","Shahryari, Mitchka","Civilisations du Fer II-III en Iran du N-O",,
"kamv15IB7khBo_KL6a60","Barbe, Camille","Adrien-Jean-Maximilien Vachette (1753-1839). Maître-orfèvre prolifique de tabatières en or éclectiques au tournant des XVIIIe et XIXe siècles",,
"3Apnw44BtV9ESjHgUuWo","Tsinker, Eva","Les représentations des animaux avec les saints dans les livres d’heures commandés par les fils du roi Jean II le Bon (Charles V, Philippe le Hardi, Jean de Berry)",,
"8SxIn44B_uRIhURzMYQ_","Barbaret, Karine","Les enjeux de réception de l'Ecole d'art de Gandhara",,
"AnEwy5AB92aMUJ1u36NX","Mathieu, Jessica","La notion de beau dans le discours des artistes/artisans et leurs directeurs du Moyen Empire à la fin du Nouvel Empire",,
"rwUevo4BtV9ESjHgRXm_","Laderich, Eléonore","Etude des fresques de la vie de San Domenico au Chiostro Grande, Santa Maria Novella. Manifeste de la peinture des ordres religieux à la Contre-Réforme. Un récit dominicain, tridentin et florentin",,
"fy7ivY4B_uRIhURzSxY1","Kowalczyk, Jakub","A la recherche de racines. Etude de l'influence de l'héritage dans l'œuvre de Rubem Valentim (1922-1991)",,
"VGIgdo4B92aMUJ1u1lUM","Mroz, Marcelina","Teresa Zarnowerowna",,
"oipWe44B_uRIhURzUq0j","Genthilhomme, Manon","L'amphithéâtre de Pompei : étude et questionnement autour d'un édifice à l'image de l'adaptation de la culture romaine en Campanie entre le Ier siècle av. J.-C. et le IIe siècle après J.-C",,
"SG2lJpAB92aMUJ1uyWu3","Berges, Victoria","Le temple de Virsbhodra de Lepakshi en Andhra Pradesh : étude de l'architecture et du programme sculpté",,
"ObvbdY4BtV9ESjHgRlW3","Léonard de Juvigny, Etienne","La Toscane des européens : considérer la réalité et le collectionneur en dépassant le mythe florentin",,
"_GywDJAB92aMUJ1u_cAp","Hennequin, Inès","La mise en couleur de la gravure sur bois au XVe siècle en Europe du Nord",,
"OED1K5AB_uRIhURzHNcj","Gembel, Maria","Le rôle de la performance dans le développement des relations entre les artistes non-officiels soviétiques et les Etats-Unis pendant la phase de détente (1974-1979)",,
"oUCoJpAB_uRIhURzt5Fq","Bertheau, Juliet","Sanja Ivekovic : une critique de l'utilisation et de l'influence des médias dans la Yougoslavie des années 1970 et 2000",,
"7-Uzn44BtV9ESjHg38CL","Alvarez, Victoria","Le commissariat de l'art numérique en Espagne au début des années 2000 : ""Feedback"", une exposition rétrospective",,
"IuQWno4BtV9ESjHg8508","Perrot, Dharma","A la croisée de deux imaginaires ""Celtes et Viking"". L'usage de l'archéologie dans la construction des identités culturelles",,
"t5xySpABtV9ESjHgKhr7","Zea Mares, Luis","Ignacio Diaz Morales : enseignant et architecte (1923-1992) Volume 2",,
"pm66SZAB92aMUJ1uv1F5","Novembre, Astrid","Mary Martin (1907-1969). Un art de l'entre-deux",,
"8m4USpAB92aMUJ1uXlP6","Piel, Amandine","Jean-Michel Atlan et les artistes du signe au Maghreb",,
"sy7mvY4B_uRIhURzKxYD","Hyde, Merryleas","Ré-évaluation de l'héritage préislamique dans la culture matérielle de l'Iran jusqu'à la fin du Xe siècle",,
"HHE0y5AB92aMUJ1un6Mv","Perrin, Coralie","Les céramiques découvertes en 2014 et 2015 sur le site culturel de Conjux (Lac du Bourget, Savoie)",,
"NEJhzoUBkiw6YMCdHnfq","Ducret, Pauline","La dynamique du chantier. Construire à Rome et dans le Latium du IVe siècle av. J.-C. au Ier siècle ap. J.-C.",,
"FB9rypABtV9ESjHgomS3","Raynier, Bérénice","Les Zemis taïnos",,
"inHgxJAB92aMUJ1u6XnH","Fallou, Pierre","Les enclos funéraires de Gaule Narbonnaise de l'époque augustéenne au IIIe siècle après J.-C. : délimitation, décor, monumentalisation",,
"-MC1spEBYDRAtuawqlTe","Bertrand, Camille","L'évolution du genre du portrait en Chine du XVIIe au début du XXe siècle",,
"o4JlLH8BjJhH4D4J4wfM","Nevoret, Francis","""We have one Black Model already"" L'Enracinement de l'idéal de beauté blanche dans les médias de mode",,
"gBN-YIABE5FSCrqE-E3w","Artuphel, Marie","Le SAAL à Porto. Les ilhas et la redécouverte de la ville",,
"UDtUv48B_uRIhURzjkaH","Perdikidou, Joséphine","L'aménagement intérieur des temples de Délos de l'indépendance délienne à la fin de la seconde occupation athénienne (314-79 av. J.-C.)",,
"qiwyno4B_uRIhURz_Hb9","Vaubourdolle, Raphaël","La diffusion du soliferrum de part et d'autres des Pyrénées",,
"lw2uv48BtV9ESjHgk71-","Jais, Adrien","Alain Richard : une esthétique de la rigueur. Une création de gammes entre influences internationales et revendications d'un esprit français",,
"lQ2fv48BtV9ESjHg-67e","Gautier, Arnaud","La collection de meubles et d'objets d'art d'un financier au XVIIIe siècle : Laurent Grimod de la Reynière",,
"fQpxw44BtV9ESjHgufBM","Wickremasuriya, Amila","Le développement de l'architecture, de la sculpture et du culte dans les complexes monastiques bouddhistes d'Anuradhapura (IIIe siècle avant J.-C. - Ve siècle après J.-C.)",,
"LWs74o8B92aMUJ1uaqqE","Barnet, Florine","Les processus de patrimonialisation des archives d'architecture et de design : l'exemple de l'agence de Philippe Starck",,
"fPXTa3wBb--xViClpQ9j","Semour, Anaïs","L'œuvre religieux de Pierre-Charles Trémolières (1703-1739)",,
"l1I8ApABtV9ESjHg-waY","Viré, Angelina","L'art et la révolution dans l'oeuvre d'Ivan Klioune",,
"Mz6HBpAB_uRIhURzbexG","Freyermuth, Camille","Le destin d'une collection d'art juive au XXe siècle. Traverser l'Occupation : le cas des frères Bacri",,
"o1e-B5ABtV9ESjHghqyw","Barilari, Sofia","Les fresques du sanctuaire des églises rupestres byzantines de la Terra d'Otranto (Xe-XIe siècles)",,
